排名,學校,中文5+%,英文5+%,數學必修5+%,中英數5+%平均,總5+%,總4+%,網頁
1,聖保羅男女中學,60.6%,86.2%,78.9%,75.2%,/,/,https://www.spcc.edu.hk
2,拔萃女書院,48.8%,85.3%,61.2%,65.1%,63.4%,90.2%,https://www.dgs.edu.hk
3,皇仁書院,42%,58%,67.3%,55.8%,/,/,https://www.qc.edu.hk
4,協恩中學,45%,59%,51%,51.7%,/,/,http://www.hys.edu.hk
5,德望學校,32%,70%,50%,50.7%,/,/,http://www.ghs.edu.hk
6,香港道教聯合會鄧顯紀念中學,53.1%,36.9%,58.5%,49.5%,54.2%,87.3%,https://www.tanghin.edu.hk
7,聖保羅書院,21.6%,59.8%,61.8%,47.7%,45.6%,73.8%,http://www.spc.edu.hk
8,培僑書院,27.1%,54.4%,53.6%,45%,50%,82%,https://www.puikiucollege.edu.hk
9,聖若瑟書院,18.7%,61.6%,51.8%,44%,/,77.3%,https://www.sjc.edu.hk
10,港大同學會書院,28.8%,54.1%,43.4%,42.1%,47.3%,80.3%,https://www.hkugac.edu.hk/
11,庇理羅士女子中學,35.9%,52.4%,37.9%,42.1%,/,/,https://www.belilios.edu.hk
12,聖公會曾肇添中學,37.6%,36.8%,50.4%,41.6%,48.2%,83.6%,https://www.tsk.edu.hk
13,荃灣官立中學,35.5%,31.1%,58.2%,41.6%,40.5%,75.5%,https://www.twgss.edu.hk
14,伊利沙伯中學,36.2%,28.5%,56.9%,40.5%,44.7%,76.9%,https://www.qos.edu.hk/
15,香港真光中學,39.4%,52.8%,27.8%,40.0%,40.1%,/,https://www.tlmshk.edu.hk
16,張祝珊英文中學,29.2%,38.5%,50%,39.2%,43.3%,,http://www.ccsc.edu.hk
17,保良局百周年李兆忠紀念中學,33.9%,33.9%,47%,38.3%,41.7%,77.2%,https://www.plkclscmc.edu.hk
18,英華書院,25.2%,47.7%,39.1%,37.3%,/,/,https://www.yingwa.edu.hk
19,保良局董玉娣中學,35.3%,34.3%,42.2%,37.3%,40.3%,/,https://www.plktytc.edu.hk
20,聖馬可中學,30.4%,42.4%,38%,36.9%,40.1%,7.7%,https://www.stmarks.edu.hk
21,聖瑪加利男女英文中小學,28.3%,58.2%,23.9%,36.8%,/,/,https://www.smcesps.edu.hk
22,浸信會呂明才中學,34%,33%,42%,36.3%,41.1%,76.7%,https://www.blmcss.edu.hk
23,聖公會林護紀念中學,26%,33%,48%,35.7%,/,/,https://www.lamwoo.edu.hk/
24,新界鄉議局元朗區中學,33.1%,30%,43.1%,35.4%,43.4%,77.1%,http://www.nthykyldss.edu.hk
25,華英中學,28.3%,27.7%,48.2%,34.7%,41.5%,/,https://www.waying.edu.hk
26,民生書院,23.7%,37.4%,38.9%,33.3%,42.8%,/,https://munsang.edu.hk
27,香港九龍塘基督教中華宣道會陳瑞芝紀念中學,37%,19.4%,42.6%,33%,/,/,https://www.scc.edu.hk
28,聖保祿學校,30.6%,57.1%,11.1%,32.9%,/,/,http://www.spcs.edu.hk
29,聖士提反女子中學,18%,44%,35%,32.3%,/,/,https://www.ssgc.edu.hk
30,英華女學校,26%,37%,33%,32%,/,/,http://www.ywgs.edu.hk
31,佛教善德英文中學,27.7%,17.9%,44.6%,30.1%,31.2%,69.8%,https://www.bstc.edu.hk
32,基督教宣道會宣基中學,19.6%,24.3%,42.1%,28.7%,/,/,https://www.skss.edu.hk
33,何明華會督銀禧中學,28.1%,27%,30.4%,28.5%,33.1%,70.8%,https://www.bhjs.edu.hk
34,優才（楊殷有娣）書院,28.3%,26.7%,30%,28.3%,29%,/,https://www.gtcollege.edu.hk
35,順德聯誼總會梁銶琚中學,17.6%,28.4%,38.2%,28.1%,28.3%,62.1%,http://www.lkkc.edu.hk
36,旅港開平商會中學,24%,27.1%,31.8%,27.6%,29.1%,69.3%,http://www.hpccss.edu.hk
37,保良局第一張永慶中學,23.3%,24.7%,30.8%,26.3%,/,/,https://www.plkno1.edu.hk/
38,保良局羅氏基金中學,10.4%,24.6%,42.9%,26%,/,/,http://www.plklfc.edu.hk
39,福建中學,22.3%,19.1%,34%,25.1%,26.1%,64.5%,http://www.fms.edu.hk
40,滙基書院(東九龍),24.7%,29.9%,19.5%,24.7%,28.8%,72.3%,https://www.uccke.edu.hk
41,嘉諾撒聖心書院,19.8%,27%,27%,24.6%,22%,60.7%,http://www.shcc.edu.hk
42,高主教書院,19%,22%,32.5%,24.5%,/,/,https://www.raimondi.edu.hk
43,聖羅撒書院,22.7%,30.7%,17.2%,23.5%,/,/,https://www.hksrl.edu.hk
44,保良局顏寶鈴書院,10.1%,32.1%,27.2%,23.1%,/,/,http://www.npl.edu.hk
44,國際基督教優質音樂中學暨小學,20.5%,28.2%,20.5%,23.1%,/,/,https://www.icqm.edu.hk
45,聖言中學,17%,17%,34%,22.7%,28.5%,65.8%,https://www.singyin.edu.hk
46,可風中學（嗇色園主辦）,19.5%,18.5%,28%,22%,21.7%,66%,https://www.hofung.edu.hk
47,仁愛堂田家炳中學,20.9%,15.7%,27%,21.2%,23%,61%,http://www.yottkp.edu.hk
48,順利天主教中學,29.1%,8.7%,16.5%,18.1%,/,/,http://www.slcss.edu.hk
49,*香港中國婦女會中學,/,/,/,/,/,75.9%,http://www.hkcwcc.edu.hk
50,*喇沙書院,/,/,/,/,46.8%,/,https://www.lasalle.edu.hk
